Id: 2022012012 | UserName: ee@edu.ph | Email: ee@edu.ph | FullName: EE student | Role: Student | Status: Active
Id: 33333 | UserName: john@edu.ph | Email: john@edu.ph | FullName: John Doe | Role: DepartmentHead | Status: Active
Id: 10203 | UserName: mefaculty@edu.ph | Email: mefaculty@edu.ph | FullName: ME faculty | Role: Educator | Status: PendingApproval
Id: 2022012700 | UserName: me@edu.ph | Email: me@edu.ph | FullName: ME student | Role: Student | Status: Active
Id: 2022012709 | UserName: ie@edu.ph | Email: ie@edu.ph | FullName: IE student | Role: Student | Status: Active
Id: 10201 | UserName: cpefaculty@edu.ph | Email: cpefaculty@edu.ph | FullName: CPE faculty | Role: Educator | Status: PendingApproval
Id: 22222 | UserName: steph@edu.ph | Email: steph@edu.ph | FullName: Stephen Curry | Role: DepartmentHead | Status: Active
Id: 10202 | UserName: iefaculty@edu.ph | Email: iefaculty@edu.ph | FullName: IE faculty | Role: Educator | Status: PendingApproval
Id: 10205 | UserName: eefaculty@edu.ph | Email: eefaculty@edu.ph | FullName: EE faculty | Role: Educator | Status: PendingApproval
Id: 44444 | UserName: lebron@edu.ph | Email: lebron@edu.ph | FullName: Lebron James | Role: DepartmentHead | Status: Active
Id: 54321 | UserName: carlo@edu.ph | Email: carlo@edu.ph | FullName: Carlo Gian | Role: DepartmentHead | Status: Active
Id: 11111 | UserName: tuquib@edu.ph | Email: tuquib@edu.ph | FullName: Tuquib Carlo | Role: DepartmentHead | Status: Active
Id: 2022202202 | UserName: peter@edu.ph | Email: peter@edu.ph | FullName: Peter Parker | Role: Student | Status: PendingApproval
Id: 10204 | UserName: ecefaculty@edu.ph | Email: ecefaculty@edu.ph | FullName: ECE faculty | Role: Educator | Status: PendingApproval
Id: 0 | UserName: admin@srvs.local | Email: admin@srvs.local | FullName: System Administrator | Role: Admin | Status: Active
Id: 2022012708 | UserName: ralph@edu.ph | Email: ralph@edu.ph | FullName: ralph lima | Role: Student | Status: Active
Id: 2022012707 | UserName: ece@edu.ph | Email: ece@edu.ph | FullName: ECE student | Role: Student | Status: Active
Id: 55555 | UserName: test@edu.ph | Email: test@edu.ph | FullName: Testing test | Role: Educator | Status: Active
Id: 12345 | UserName: gian@edu.ph | Email: gian@edu.ph | FullName: Gian Carlo | Role: DepartmentHead | Status: Active
